,Temp (K),Measured T (ns),Measured T + error (ns),Measured T - error (ns),Theory T (ns),Theory T + error (ns),Theory T - error (ns),Source,Type of T
0,4.434742647,34.159292500931954,1.5854529814247513,2.0848383963415245,44.28959882522211,4.990000915006462,4.723420681599947,Exp.: Jahnke et al. (2015),$T_1^{orb}$
1,4.986213235,36.24413089727348,1.4693565047079318,1.7854254457389729,39.58273856608925,4.4596904668904855,4.221440946332436,Exp.: Jahnke et al. (2015),$T_1^{orb}$
2,5.992647059,30.274509879904652,1.8921572434210852,2.0267455826817873,33.147471305139334,3.734644623798225,3.535129142246202,Exp.: Jahnke et al. (2015),$T_1^{orb}$
3,6.985294118,28.91385786849584,0.9428431122471501,1.4798432922456861,28.496586206083133,3.210640760239542,3.0391190756091433,Exp.: Jahnke et al. (2015),$T_1^{orb}$
4,7.991727941,25.394737062638505,1.1180075945003765,1.2259524787075122,24.982778540182448,2.814748633575803,2.6643766475782087,Exp.: Jahnke et al. (2015),$T_1^{orb}$
5,8.998161765,23.827160446761166,1.579322063424371,2.078880002515895,22.236451144439233,2.50532663425388,2.3714848634216423,Exp.: Jahnke et al. (2015),$T_1^{orb}$
6,9.990808824,22.376811679818527,1.1680204407290447,1.377034245990707,20.031877755821977,2.256942735591558,2.136370348634717,Exp.: Jahnke et al. (2015),$T_1^{orb}$
7,10.98345588,19.643765807338344,1.3499267991219952,1.6234519992777798,18.223654827643106,2.053214675155619,1.9435260284680709,Exp.: Jahnke et al. (2015),$T_1^{orb}$
8,10.99724265,18.647342996970757,1.1018885583839797,0.9964228103675872,18.223654827643106,2.053214675155619,1.9435260284680709,Exp.: Jahnke et al. (2015),$T_1^{orb}$
9,11.98988971,16.819171985771856,1.0318509443309107,1.2604532510780153,16.71399634795337,1.8831251418381711,1.7825231683324692,Exp.: Jahnke et al. (2015),$T_1^{orb}$
10,12.99632353,14.621212203179523,1.1951251952884068,1.428683970844622,15.434763881289737,1.7389971445549293,1.6460949041375788,Exp.: Jahnke et al. (2015),$T_1^{orb}$
11,14.00275735,15.107632058455659,1.2972563065808238,1.6023245357610936,14.286235317116734,1.6095952366995192,1.5236060192228305,Exp.: Jahnke et al. (2015),$T_1^{orb}$
12,14.99540441,12.931323319471732,0.754667118884603,0.8790524324031033,13.340526422213431,1.5030445255603233,1.4227475542232426,Exp.: Jahnke et al. (2015),$T_1^{orb}$
13,16.00183824,13.472949376012474,1.0413874553038358,1.3447088925438617,12.51206377115549,1.4097036623219417,1.3343932289699811,Exp.: Jahnke et al. (2015),$T_1^{orb}$
14,18.00091912,12.062500058804687,1.2045535523022863,1.553020196487406,11.129380371365894,1.25392010109932,1.1869320746605005,Exp.: Jahnke et al. (2015),$T_1^{orb}$
15,21.99908088,9.613947699970689,1.4618885803249224,2.1364328096637593,9.114220124193647,1.026876918410844,0.9720181932818583,Exp.: Jahnke et al. (2015),$T_1^{orb}$
16,3.497914494,69.5418323235114,3.044225921999214,2.9329536904229343,48.367106239455026,5.449403715385436,5.158280860075905,Exp.: Pingault et al. (2017),$T_1^{orb}$
17,3.600104275,66.14818939678709,4.284185633914518,3.851794386601547,47.127445455311125,5.309734162911347,5.026072857716237,Exp.: Pingault et al. (2017),$T_1^{orb}$
18,3.710636079,58.87334324876532,3.0214092199536964,2.6450663217255865,45.94718982619765,5.176757644147671,4.900200327912366,Exp.: Pingault et al. (2017),$T_1^{orb}$
19,3.898331595,56.18587552029054,3.3269286407186627,2.9319445138206817,43.74931701432933,4.929128683100394,4.665800419796852,Exp.: Pingault et al. (2017),$T_1^{orb}$
20,4.098540146,51.60204845592976,3.5157681490197135,2.916139086054841,41.7454261551577,4.703355194830607,4.452088402100948,Exp.: Pingault et al. (2017),$T_1^{orb}$
21,4.296663191,44.18318225771933,2.618473682589695,2.4199557747740386,39.911786153442065,4.496763454804665,4.256533388363046,Exp.: Pingault et al. (2017),$T_1^{orb}$
22,4.496871741,43.37728259166507,3.361599236972964,2.885821860113623,38.22823797015144,4.307082193336711,4.07698544667123,Exp.: Pingault et al. (2017),$T_1^{orb}$
23,4.799270073,40.81943263952122,3.1665335288875482,2.7193469941862958,35.94738766058535,4.050104360310016,3.8337361102671466,Exp.: Pingault et al. (2017),$T_1^{orb}$
24,5.099582899,39.369818341359,4.649681494152453,3.7803533206881994,33.91797196975396,3.8214550516057315,3.617301906754392,Exp.: Pingault et al. (2017),$T_1^{orb}$
25,5.399895725,34.482740856132814,1.8309760048988082,1.5900860541568065,32.10140216289347,3.6167865687373606,3.4235674042325854,Exp.: Pingault et al. (2017),$T_1^{orb}$
26,3.693029491,78.46970983354562,0.0,0.0,52.79592364058003,5.948387753855094,5.630607732804108,Exp.: Becker et al. (2018),$T_1^{orb}$
27,7.493297587,35.091901821989616,0.0,0.0,26.62509460702218,2.9997843731994536,2.839527244594162,Exp.: Becker et al. (2018),$T_1^{orb}$
28,9.993297587,26.43910142883297,0.0,0.0,20.031877755821977,2.256942735591558,2.136370348634717,Exp.: Becker et al. (2018),$T_1^{orb}$
